Video ID,Title,Comment
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Hahaha for the quint
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",I support the bill.
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",BHARAT AB GYA
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","I M not a big supporter of modiji n shah        BUT this time they did exactly which should be done year before.  
     virodh hoga but samay ke saath normal ho jayega   jinke haatho me pathhar hai kuch virodh swaroop hai baaki paise ki lalach
        ab baaki political leaders aur dharmik leader (hindu muslim dono) isse hindu muslim banane ki kosish na kare."
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Ye opposition wale kyo kutte jaise chilla rahe bc
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",Happy Bday Ladakh😍😍😍
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","Ek Desh me 2 Pradhan, 2 Sarkar, 2 Nishan nahi chalega nahi chalega. To Dr. Shyam Prasad Mukarji. 🙏🙏🙏🙏"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha","I can only feel the pain of Arifa,zainab,Chidambaram,ghulam azad(what a double meaning name),omar,mufti ,mamata and other terrorists..And it is giving me immense joy and plasure to see them in shock and fear that now India can take such steps ! C'mon quint..try harder next time"
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",What about north east
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",JAI HIND
uYWHqdIeJvg,"Amit Shah Proposes Abrogation of Article 370, Article 35A in Rajya Sabha",BRAVO!!!
